Paragraph,TitleChinese,TitleEnglish,ChineseText,EnglishText,URL,Chapter Chinese,Chapter English,link_title,Book Chinese,Book English,Book period,earliest_date,latest_date,original_translation
208,哀公,,十七年，春，衛侯為虎幄於藉圃，成求令名者，而與之始食焉，大子請使良夫，良夫乘衷甸，兩牡，紫衣狐裘，至，袒裘不釋劍而食，大子使牽以退，數之以三罪，而殺之。,"In the seventeenth year, in spring, the Duke of Wei set a tiger trap in the Jipou, and those seeking to attain fame came to him to feast. The eldest son requested to send a good husband. The good husband rode a chariot pulled by two steeds, wearing a purple robe and a fox fur coat. Upon arrival, he took off his coat but did not put down his sword while eating. The eldest son ordered him to be pulled back and accused him of three crimes, ultimately killing him.",https://ctext.org/chun-qiu-zuo-zhuan/ai-gong,哀公,,chun-qiu-zuo-zhuan,春秋左傳,Chun Qiu Zuo Zhuan,['Warring States'],-468.0,-300,
52,巽之,,艮：宮門愁鳴，臣圍其君，不得東西。,"Gen: The palace gate mourns, the minister surrounds his ruler, unable to go east or west.",https://ctext.org/jiaoshi-yilin/xun-zhi,巽之,,jiaoshi-yilin,焦氏易林,Jiaoshi Yilin,['Han'],-206.0,220,
40,大道上,,宋公以楚人戰於泓，公子目夷曰：「楚眾我寡，請其未悉濟而擊之。」宋公曰：「不可。吾聞不鼓不成列，寡人雖亡之餘，不敢行也。」戰敗，楚人執宋公。,"Duke of Song fought the people of Chu at Hong. The young lord Mu Yi said, ""The troops of Chu are numerous while ours are few; let us attack them before they are fully prepared."" The Duke of Song replied, ""That is not acceptable. I have heard that without a drum, one cannot take formation. Even if my forces are few and I face imminent defeat, I dare not act recklessly."" They were defeated, and the people of Chu captured the Duke of Song.",https://ctext.org/yin-wen-zi/da-dao-shang,大道上,,yin-wen-zi,尹文子,Yin Wen Zi,['Western Han'],-109.0,-91,
45,釋宮室,,屏，自障屏也。,"A screen, that is a barrier screen.",https://ctext.org/shi-ming/shi-gong-shi,釋宮室,,shi-ming,釋名,Shi Ming,['Eastern Han'],190.0,210,
87,莊公,,齊侯之出也，過譚，譚不禮焉，及其入也，諸侯皆賀，譚又不至，冬，齊師滅譚，譚無禮也，譚子奔莒，同盟故也。,"When the Marquis of Qi went out, he passed by the state of Tan, and Tan did not show him the proper respect. When he returned, all the other lords congratulated him, but Tan still did not attend. In winter, the army of Qi destroyed Tan because of the lack of courtesy from Tan. The son of Tan fled to Ju due to the alliance.",https://ctext.org/chun-qiu-zuo-zhuan/zhuang-gong,莊公,,chun-qiu-zuo-zhuan,春秋左傳,Chun Qiu Zuo Zhuan,['Warring States'],-468.0,-300,
31,律曆下,,月數，百二十五。,The number of months is one hundred twenty-five.,https://ctext.org/hou-han-shu/lv-li-xia,律曆下,,hou-han-shu,後漢書,Hou Han Shu,['Northern and Southern'],420.0,445,
56,春官宗伯,,以九儀之命正邦國之位：壹命受職，再命受服，三命受位，四命受器，五命賜則，六命賜官，七命賜國，八命作牧，九命作伯。,"With the command of the Nine Instruments, rectify the positions of the state: The first command receives office, the second command receives attire, the third command receives position, the fourth command receives vessels, the fifth command bestows regulations, the sixth command bestows offices, the seventh command bestows the state, the eighth command acts as a shepherd, the ninth command acts as a marquis.",https://ctext.org/rites-of-zhou/chun-guan-zong-bo,春官宗伯,,rites-of-zhou,周禮,The Rites of Zhou,['Warring States'],-300.0,-100,
57,食貨志,,有司言三銖錢輕，輕錢易作姦詐，乃更請郡國鑄五銖錢，周郭其質，令不可得摩取鉛。,"The officials say that the three-zhu coins are light; light coins are easy to forge and commit fraud. Therefore, they request that the prefectures cast five-zhu coins, ensuring their quality, so that they cannot be easily worn down to extract lead.",https://ctext.org/han-shu/shi-huo-zhi,食貨志,,han-shu,漢書,Han Shu,['Eastern Han'],36.0,111,
2,外傳枕中,,越王曰：「善哉。今寡人欲保穀，為之奈何？」范子曰：「欲保，必親於野，睹諸所多少為備。」越王曰：「所少，可得為因其貴賤，亦有應乎？」范子曰：「夫八穀貴賤之法，必察天之三表，即決矣。」越王曰：「請問三表。」范子曰：「水之勢勝金，陰氣蓄積大盛，水據金而死，故金中有水。如此者，歲大敗，八穀皆貴。金之勢勝木，陽氣蓄積大盛，金據木而死，故木中有火。如此者，歲大美，八穀皆賤。金、木、水、火更相勝，此天之三表者也，不可不察。能知三表，可為邦寶。不知三表之君，千里之神，萬里之君。故天下之君，發號施令，必順於四時。四時不正，則陰陽不調，寒暑失常。如此，則歲惡，五穀不登。聖主施令，必審於四時，此至禁也。」越王曰：「此寡人所能行也。願欲知圖穀上下貴賤，欲與他貨之內以自實，為之奈何？」范子曰：「夫八穀之賤也，如宿穀之登，其明也。諦審察陰陽消息，觀市之反覆，雌雄之相逐，天道乃畢。」,"The King of Yue said, ""Good. Now I wish to ensure the grain, what should I do about it?"" Fan Zi replied, ""If you wish to ensure it, you must personally attend to the fields and observe the abundance or scarcity to prepare accordingly."" The King of Yue said, ""If there is scarcity, can it be influenced by its value and worth?"" Fan Zi said, ""The law of value regarding the eight grains must carefully observe the three indicators of Heaven; then it will be resolved."" The King of Yue said, ""Please explain the three indicators."" Fan Zi replied, ""The power of water surpasses that of gold, the passive energy accumulates greatly, and water dominates over gold, leading to the death of gold; hence, water is contained within gold. In such cases, there will be a great famine, and all eight grains will be precious. The power of gold surpasses that of wood, the active energy accumulates greatly, and gold dominates over wood, leading to the death of wood; hence, fire is present within wood. In such cases, there will be great abundance, and all eight grains will be cheap. The elements of gold, wood, water, and fire mutually overcome one another; these are the three indicators of Heaven and must not be overlooked. Knowing the three indicators can be a treasure for the state. Those who do not understand the three indicators are like rulers a thousand miles away or ten thousand miles away. Therefore, the rulers of the world, when issuing orders, must align with the four seasons. If the four seasons are not right, then yin and yang are unbalanced, and the cold and heat are inappropriate. In such cases, there will be a bad year and five grains will not grow. A wise ruler, when issuing commands, must carefully consider the four seasons; this is the ultimate admonition."" The King of Yue said, ""This is something I can implement. I wish to know how to discern the value of grains according to their abundance and scarcity and how to compare them with other goods for my own benefit; what should I do?"" Fan Zi replied, ""As for the cheapness of the eight grains, it follows the rising of stored grains, its clarity is evident. Carefully observe the messages of yin and yang, watch the fluctuations of the market, and the competition between male and female; then the way of Heaven will be complete.""",https://ctext.org/yue-jue-shu/wai-zhuan-zhen-zhong,外傳枕中,,yue-jue-shu,越絕書,Yue Jue Shu,['Eastern Han'],1950.0,1970,
47,臨之,,井：秋南春北，不失消息；涉和履中，時無隱慝。,"Well: In autumn to the south and spring to the north, one does not lose news; In traversing harmony and stepping in the middle, there is no hidden deceit at times.",https://ctext.org/jiaoshi-yilin/lin-zhi,臨之,,jiaoshi-yilin,焦氏易林,Jiaoshi Yilin,['Han'],-206.0,220,
