Paragraph,TitleChinese,ChineseText,Chapter Chinese,Book Chinese,Book period,earliest_date,latest_date,name,identity,ChapterYear
11,襄公二年,夏，齊姜薨，初，穆姜使擇美檟，以自為櫬，與頌琴，季文子取以葬，君子曰，非禮也，禮無所逆，婦養姑者也，虧姑以成婦，逆莫大焉，詩曰，其惟哲人，告之話言，順德之行，季孫於是為不哲矣，且姜氏，君之妣也，詩曰，為酒為醴，烝畀祖妣，以洽百禮，降福孔偕。,襄公二年,春秋左傳,['Warring States'],-468.0,-300,"['姜夫人', '穆姜', '季文子', '季孙']","['姜夫人是齐国的国君的母亲', '穆姜是姜夫人', '季文子是负责埋葬姜夫人的人', '季孙是季文子的家族成员']",-571.0
2,僖公元年,夏，六月，邢遷于夷儀，齊師，宋師，曹師，城邢。,僖公元年,春秋左傳,['Warring States'],-468.0,-300,[],[],-659.0
17,文公九年,范山言於楚子曰，晉君少，不在諸侯，北方可圖也，楚子師于狼淵以伐鄭，囚公子堅，公子尨，及樂耳，鄭及楚平。,文公九年,春秋左傳,['Warring States'],-468.0,-300,"['范山', '楚王', '晋国的君主', '公子坚', '公子尨', '乐耳']","['范山是楚国的臣子', '楚王是楚国的君主', '晋国的君主是晋国的统治者', '公子坚是郑国的贵族', '公子尨是郑国的贵族', '乐耳是郑国的贵族']",-618.0
10,文公九年,九月，癸酉，地震。,文公九年,春秋左傳,['Warring States'],-468.0,-300,[],[],-618.0
4,文公十八年,秋，公子遂，叔孫得臣，如齊。,文公十八年,春秋左傳,['Warring States'],-468.0,-300,"['公子遂', '叔孙得臣']","['公子遂是去齐国的人', '叔孙得臣是去齐国的人']",-609.0
1,僖公三年,徐人取舒。,僖公三年,春秋左傳,['Warring States'],-468.0,-300,"['徐国的人', '舒国的人']","['徐国的人是抓捕者', '舒国的人是被抓者']",-657.0
17,文公四年,楚人滅江，秦伯為之降服，出次，不舉，過數，大夫諫公曰，同盟滅，雖不能救，敢不矜乎，吾自懼也，君子曰，詩云，惟彼二國，其政不獲，惟此四國，爰究爰度，其秦穆之謂矣。,文公四年,春秋左傳,['Warring States'],-468.0,-300,['秦穆公'],['秦国的国君'],-623.0
8,襄公十九年,冬，葬齊靈公。,襄公十九年,春秋左傳,['Warring States'],-468.0,-300,['齐灵公'],['齐灵公是去世并下葬的君主'],-554.0
3,昭公十六年,秋，八月，己亥，晉侯夷卒。,昭公十六年,春秋左傳,['Warring States'],-468.0,-300,['晋侯夷'],['晋侯夷是晋国的君主'],-526.0
17,隱公元年,新作南門，不書，亦非公命也。,隱公元年,春秋左傳,['Warring States'],-468.0,-300,[],[],-722.0
2,定公四年,夏，四月，庚辰，蔡公孫姓帥師滅沈，以沈子嘉歸，殺之，五月，公及諸侯盟于皋鼬。,定公四年,春秋左傳,['Warring States'],-468.0,-300,"['公子姓', '沈子嘉', '鲁国国君']","['公子姓是蔡国的公子，带领军队灭亡了沈国', '沈子嘉是沈国的人，被公子姓带回并杀掉', '鲁国国君是鲁国的统治者，参与了在皋鼬的结盟']",-506.0
1,成公十一年,晉侯使郤犨來聘，己丑，及郤犨盟。,成公十一年,春秋左傳,['Warring States'],-468.0,-300,"['晋侯', '郤犨']","['郤犨是晋侯的使者', '晋侯是郤犨的君主']",-580.0
3,莊公二十二年,夏，五月。,莊公二十二年,春秋左傳,['Warring States'],-468.0,-300,[],[],-672.0
0,莊公十五年,十有五年，春，齊侯，宋公，陳侯，衛侯，鄭伯，會于鄄。,莊公十五年,春秋左傳,['Warring States'],-468.0,-300,"['齐侯', '宋公', '陈侯', '卫侯', '郑伯']","['齐侯是齐国的君主', '宋公是宋国的君主', '陈侯是陈国的君主', '卫侯是卫国的君主', '郑伯是郑国的君主']",-679.0
8,襄公二十三年,八月，叔孫豹帥師救晉，次于雍榆。,襄公二十三年,春秋左傳,['Warring States'],-468.0,-300,['叔孙豹'],['叔孙豹是带领军队去援救晋国的将领'],-550.0
